상품명,스팩목록,가격
LG전자 오브제컬렉션 코드제로 A9S AX920BWE,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 280W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 카밍베이지/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,165,000원",675280
LG전자 오브제컬렉션 코드제로 A9S AX958BWE,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 280W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 카밍베이지/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,165,000원",902852
LG전자 코드제로 A5 AS520WA,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 280W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/자동물공급/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 포함/스팀/고온/[색상/크기] 색상: 카밍베이지/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,765,000원",359898
샤오미 미홀 M22,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 280W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/자동물공급/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 포함/스팀/고온/[색상/크기] 색상: 카밍베이지/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,765,000원",121220
삼성전자 비스포크 제트 AI Lite VS28D950ACB,"핸디스틱청소기/무선/흡입전용/흡입력: 150W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/스마트인버터모터/워셔블먼지필터/[배터리] 사용시간: 40분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬, 틈새(내장형)브러쉬/[색상/크기] 색상: 카밍베이지/무게: 1.97kg/크기(가로x세로x깊이): 251x1026x242mm",196000
삼성전자 비스포크 제트 VS20C954AQB,"핸디스틱청소기/무선/흡입전용/흡입력: 150W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/스마트인버터모터/워셔블먼지필터/[배터리] 사용시간: 40분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬, 틈새(내장형)브러쉬/[색상/크기] 색상: 카밍베이지/무게: 1.97kg/크기(가로x세로x깊이): 251x1026x242mm",724030
LG전자 오브제컬렉션 코드제로 A7 Core A720WA,"핸디스틱청소기/무선/흡입+물걸레(교체)/스테이션: 벽걸이거치, 액서서리&배터리거치/LED라이트/BLDC모터/워셔블헤파필터/[배터리] 사용시간: 50분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 무게: 1.5kg/크기(가로x세로x깊이): 240x1040x204mm",420726
LG전자 오브제컬렉션 코드제로 A9 AI AI958WA,"핸디스틱청소기/무선/흡입+물걸레(교체)/스테이션: 벽걸이거치, 액서서리&배터리거치/LED라이트/BLDC모터/워셔블헤파필터/[배터리] 사용시간: 50분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 무게: 1.5kg/크기(가로x세로x깊이): 240x1040x204mm",582010
LG전자 오브제컬렉션 코드제로 A9 AI AI948WA,"핸디스틱청소기/무선/흡입전용/흡입력: 280W/스테이션: 먼지비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 산토리니베이지/무게: 2.3kg/크기(가로x세로x깊이): 300x1055x300mm",1360670
샤크닌자 샤크 에보 파워 시스템 STD+ CS150KRAE,"핸디스틱청소기/무선/흡입전용/흡입력: 280W/스테이션: 먼지비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 산토리니베이지/무게: 2.3kg/크기(가로x세로x깊이): 300x1055x300mm",1050000
